market,symbol,period,trades,analysis,target_R,hit_rate,random_walk_1_over_1+T,gross_E_per_trade_R,net_E_per_trade_R,win_rate,profit_factor,fee_bp_per_side
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,0.5,0.615,0.667,-0.0772,-0.9966,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,0.75,0.504,0.571,-0.1151,-1.0346,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,1.0,0.455,0.5,-0.0879,-1.0073,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,1.25,0.407,0.444,-0.0761,-0.9955,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,1.5,0.358,0.4,-0.0949,-1.0143,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,2.0,0.298,0.333,-0.0728,-0.9922,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,2.5,0.253,0.286,-0.0689,-0.9883,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,3.0,0.214,0.25,-0.0842,-1.0035,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,4.0,0.167,0.2,-0.0456,-0.965,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,target_sweep,5.0,0.142,0.167,0.0064,-0.9129,,,7.5
crypto,BTCUSDT,2024-01..2025-06,486,exit:fixed_1:2R,,,,-0.0728,-0.9922,0.286,0.252,7.5
crypto,BTCUSDT,2024-01..2025-06,486,exit:draw_on_liquidity,,,,0.079,-0.8403,0.16,0.485,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,0.5,0.647,0.667,-0.0287,-0.7799,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,0.75,0.543,0.571,-0.0479,-0.7991,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,1.0,0.461,0.5,-0.0773,-0.8285,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,1.25,0.388,0.444,-0.1248,-0.876,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,1.5,0.347,0.4,-0.131,-0.8822,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,2.0,0.287,0.333,-0.1263,-0.8775,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,2.5,0.252,0.286,-0.0974,-0.8486,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,3.0,0.217,0.25,-0.0941,-0.8453,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,4.0,0.165,0.2,-0.0865,-0.8378,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,target_sweep,5.0,0.126,0.167,-0.119,-0.8703,,,7.5
crypto,ETHUSDT,2024-01..2025-06,484,exit:fixed_1:2R,,,,-0.1263,-0.8776,0.281,0.291,7.5
crypto,ETHUSDT,2024-01..2025-06,484,exit:draw_on_liquidity,,,,-0.0437,-0.7948,0.132,0.482,7.5
fx,EURUSD,2024-06..2025-06,181,target_sweep,0.5,0.608,0.667,-0.0799,-0.159,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,0.75,0.508,0.571,-0.0814,-0.1604,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,1.0,0.431,0.5,-0.0859,-0.1649,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,1.25,0.381,0.444,-0.0647,-0.1438,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,1.5,0.326,0.4,-0.0851,-0.1641,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,2.0,0.287,0.333,-0.0173,-0.0963,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,2.5,0.221,0.286,-0.0439,-0.1229,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,3.0,0.193,0.25,0.0112,-0.0678,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,4.0,0.122,0.2,-0.0002,-0.0792,,,0.3
fx,EURUSD,2024-06..2025-06,181,target_sweep,5.0,0.061,0.167,-0.0352,-0.1142,,,0.3
fx,EURUSD,2024-06..2025-06,181,exit:fixed_1:2R,,,,-0.0173,-0.0962,0.359,0.859,0.3
fx,EURUSD,2024-06..2025-06,181,exit:draw_on_liquidity,,,,-0.1105,-0.1895,0.276,0.752,0.3
